id,points
TSPL02251289,58
TSPL02251300,42
TSPL0225773,41
TSPL02251927,41
TSPL0225963,35
TSPL02251441,35
TSPL0125532,33
TSPL02251355,33
TSPL012586,28
TSPL0125453,27
TSPL0125156,26
TSPL02251804,26
TSPL02251928,25
TSPL02251788,24
TSPL02251820,24
TSPL0225984,23
TSPL0125209,22
TSPL02251595,21
TSPL02251283,20
TSPL0125670,19
TSPL02251297,18
TSPL02251356,16
TSPL02251767,15
TSPL0125258,14
TSPL012512,13
TSPL02251137,13
TSPL02251371,13
TSPL0125312,11
TSPL02251043,11
TSPL02251068,10
TSPL02251628,10
TSPL02251702,9
TSPL02251789,9
TSPL0125724,9
TSPL02251619,8
TSPL0125295,8
TSPL02251950,7
TSPL02251543,5
TSPL02251818,4
TSPL02251388,3
TSPL02251046,3
TSPL02251899,3
TSPL02251889,2
TSPL0125493,0
TSPL02251875,0
TSPL0125276,0
TSPL02251807,0
TSPL02251437,-1
TSPL0225874,-3
TSPL02251946,-5
TSPL02251568,-5
TSPL02251720,-5
TSPL02251292,-6
TSPL02251641,-6
TSPL0125158,-9
TSPL0225924,-10
TSPL02251894,-10
TSPL0125641,-11
TSPL0225993,-13
TSPL012510,-15
TSPL0125400,-15
TSPL02251455,-16
TSPL0125617,-16
TSPL0125281,-18
TSPL02251914,-18
TSPL0125191,-21
TSPL01258,-21
TSPL0125396,-22
TSPL0125683,-25
TSPL02251150,-26
TSPL012569,-27
TSPL02251269,-28
TSPL0225764,-31
TSPL0125746,-32
TSPL0125285,-32
TSPL0225821,-34
TSPL0125604,-34
TSPL0125728,-35
TSPL0225902,-35
TSPL02251754,-40
TSPL02251012,-41
TSPL02251600,-42
TSPL0125304,-45
TSPL0225873,-53
TSPL0225916,-55
TSPL0125581,-57
TSPL02251340,59
TSPL0125484,59
TSPL02251413,57
TSPL02251905,44
TSPL0125393,43
TSPL02251172,39
TSPL0125151,39
TSPL02251562,39
TSPL0125345,38
TSPL02251898,34
TSPL012593,33
TSPL0225957,33
TSPL02251375,33
TSPL0125669,32
TSPL0225769,32
TSPL0125410,31
TSPL0125195,31
TSPL0125710,30
TSPL02251134,29
TSPL0125607,28
TSPL02251840,28
TSPL02251291,27
TSPL0225958,27
TSPL02251658,25
TSPL02251307,25
TSPL0125242,25
TSPL0125743,24
TSPL02251574,23
TSPL02251726,21
TSPL02251952,21
TSPL02251792,20
TSPL02251712,18
TSPL02251329,17
TSPL0125297,17
TSPL0125182,17
TSPL0225778,16
TSPL0125646,15
TSPL0125179,14
TSPL0125261,14
TSPL02251404,12
TSPL02251735,12
TSPL02251305,10
TSPL012558,10
TSPL0125616,10
TSPL012542,7
TSPL02251692,7
TSPL02251934,7
TSPL02251237,7
TSPL02251426,6
TSPL012520,6
TSPL02251728,6
TSPL0125352,5
TSPL02251873,4
TSPL0125178,4
TSPL0225798,3
TSPL0125296,3
TSPL02251537,1
TSPL0125262,1
TSPL02251919,0
TSPL0125671,0
TSPL02251158,-1
TSPL0225794,-1
TSPL02251341,-1
TSPL0225892,-2
TSPL02251723,-3
TSPL02251523,-4
TSPL02251827,-5
TSPL0125302,-5
TSPL02251558,-6
TSPL02251680,-6
TSPL02251069,-6
TSPL02251796,-7
TSPL0225823,-7
TSPL02251891,-7
TSPL012561,-8
TSPL02251675,-9
TSPL02251125,-9
TSPL02251065,-10
TSPL02251766,-10
TSPL02251379,-11
TSPL0125483,-13
TSPL02251353,-14
TSPL02251786,-15
TSPL0125464,-15
TSPL02251808,-16
TSPL012522,-16
TSPL0125601,-16
TSPL0125163,-17
TSPL0225784,-18
TSPL0225969,-20
TSPL02251234,-20
TSPL0125623,-21
TSPL0225932,-22
TSPL02251618,-23
TSPL012533,-23
TSPL02251876,-23
TSPL02251856,-24
TSPL0125628,-24
TSPL02251401,-24
TSPL012565,-24
TSPL02251025,-26
TSPL0125665,-27
TSPL0125189,-27
TSPL02251082,-27
TSPL02251336,-28
TSPL0225853,-28
TSPL0225843,-31
TSPL02251399,-32
TSPL02251611,-33
TSPL0125157,-33
TSPL02251785,-35
TSPL02251076,-37
TSPL0125266,-37
TSPL02251886,-39
TSPL0125505,-39
TSPL02251849,-42
TSPL0125223,-45
TSPL0225789,-46
TSPL012578,-48
TSPL02251853,-49
TSPL02251376,-51
TSPL02251655,-53
TSPL02251599,-56
TSPL02251546,-58
TSPL02251748,-62
TSPL02251128,58
TSPL02251626,56
TSPL0125232,37
TSPL02251780,33
TSPL02251302,32
TSPL02251512,29
TSPL0125171,28
TSPL0125748,21
TSPL02251750,19
TSPL03251973,18
TSPL0125654,15
TSPL0225960,14
TSPL03251976,11
TSPL02251803,9
TSPL02251645,7
TSPL0125112,7
TSPL0125703,3
TSPL0225842,3
TSPL02251682,1
TSPL012515,-2
TSPL02251278,-4
TSPL0125446,-8
TSPL0225809,-8
TSPL0225992,-14
TSPL02251216,-16
TSPL0225808,-16
TSPL0125440,-16
TSPL03251977,-20
TSPL02251338,-20
TSPL02251085,-21
TSPL0125621,-23
TSPL02251690,-24
TSPL0225986,-27
TSPL02251667,-35
TSPL0125147,-43
TSPL02251582,-46
TSPL02251187,-50
TSPL02251775,-61
TSPL0125544,52
TSPL0125465,49
TSPL0225987,47
TSPL02251683,45
TSPL012595,44
TSPL02251499,44
TSPL0225796,40
TSPL02251659,39
TSPL0225928,39
TSPL0125202,38
TSPL02251947,38
TSPL02251018,37
TSPL0125170,36
TSPL02251451,34
TSPL02251275,34
TSPL0125485,30
TSPL02251901,29
TSPL0225914,25
TSPL0125131,24
TSPL0125399,24
TSPL02251321,23
TSPL0125257,23
TSPL0125495,23
TSPL0125620,23
TSPL012581,21
TSPL0125144,21
TSPL02251489,20
TSPL02251377,19
TSPL0125443,19
TSPL0125477,17
TSPL02251834,17
TSPL02251169,16
TSPL02251674,16
TSPL02251717,16
TSPL02251895,16
